,date,N - Activités de services administratifs et de soutien,"M - Activités spécialisées, scientifiques et techniques",G - Commerce,J - Information et communication,K - Activités financières et d'assurance,Q - Santé humaine et action sociale,L - Activités immobilières,P - Enseignement,I - Hébergement et restauration,"B,C - Industrie",S - Autres services,0 - Administration,F - Construction,H - Transports et entreposage,"D,E - Electricité - Eau","R - Arts, spectacles et activités récréatives",A - Agriculture,nan
0,2019-01-01,0.30486423090685005,0.130262791714706,0.09744364489325329,0.05225022860096211,0.14943545501530633,0.04391126307001153,0.036526458076571386,0.02681588677294955,0.020892140102572256,0.052796883075577464,0.027988709100306125,0.004800620204349381,0.026100266369816723,0.01270226215560768,0.00369737208285294,0.004790681032083648,0.0037768854609788096,0.0009442213652447024
1,2019-02-01,0.2944679283235498,0.1406692656599302,0.09935921372985407,0.056097427394982254,0.12665362191120605,0.04517368942528392,0.04085697072896284,0.029783865330326068,0.023858957315767725,0.05736705054095904,0.025855501949244946,0.005262712412931236,0.02744377561029042,0.013039776546326308,0.004122541038701101,0.005098408241098946,0.0038536796666118985,0.0010356141739732234
2,2019-03-01,0.28729278881568987,0.16323513277711316,0.09327311387537814,0.07984650829889611,0.09628756967990348,0.04121236501559473,0.03919314981897593,0.026576320065200023,0.02766559915574341,0.05644137484261616,0.023331992414229074,0.005864344264436215,0.026725214329375017,0.017182920521809093,0.006483430941795406,0.004822084415211249,0.0037275809645213715,0.0008385098035118151
3,2019-04-01,0.2825356306142195,0.1724939137819964,0.09082398585150352,0.09016771179918015,0.07450881988896423,0.041560002026728694,0.038652611464046076,0.025068703689852607,0.032152603019343196,0.05917082668815643,0.022764506189967212,0.006355242109631546,0.02652119258506832,0.019613425629914517,0.008410924067644484,0.004806242324368277,0.003621571149034529,0.000772087120380446
4,2019-05-01,0.27068070610355377,0.17906982100346103,0.08737518503707024,0.10317059842087743,0.06615899683212349,0.038479335520626795,0.03630390676853564,0.021398346339144947,0.03601287250815001,0.06300158917268801,0.02389202838316859,0.0066393499257757956,0.02737397064950891,0.021900851536933087,0.009694162773996194,0.004734017717495766,0.00356150558932344,0.0005527557175669536
5,2019-06-01,0.278177002029779,0.16988674806419235,0.08803668637483254,0.09442009790698398,0.06920705956229302,0.039012439582015904,0.03690306147267317,0.020857194659779872,0.03919153772337519,0.06591917146104286,0.023950507002516226,0.006027426337597787,0.028067553165614934,0.022387267669911077,0.00904556168272654,0.005109824749152049,0.003402864685826484,0.00039799586968730806
6,2019-07-01,0.27812090319113425,0.16804957291403727,0.0863312135104105,0.09000154711788226,0.07029207957071551,0.0407115927985734,0.03857005594052554,0.021458117890382628,0.03727129119201362,0.06804265159719565,0.025059238329438398,0.006322826502943596,0.028640001954254174,0.023874471740670474,0.008022620491983488,0.005763014111343632,0.0032204480127677945,0.00024835313372798413
7,2019-08-01,0.2827264823795534,0.15960173217250853,0.09253567146406481,0.0774327258643351,0.07077432725864333,0.04973815517859422,0.03982884289722744,0.02296241053806947,0.0374287703800149,0.06738126336521068,0.024301506792308223,0.006658398605691775,0.027307262846053365,0.02501431802917993,0.006961240373958078,0.006065075957659835,0.0029521922035755923,0.00032962369335107797
8,2019-09-01,0.2719916455666663,0.16016164350528375,0.09644742113267137,0.07608251753147498,0.06870626854758098,0.05457801943922617,0.040525613650241724,0.023993714727994744,0.03680345689960289,0.06791672014593032,0.02618928158874252,0.009200378049776553,0.026132885274338897,0.025726442870533512,0.006843401047804627,0.005697972455262165,0.00255533645263293,0.0004472811142355966
9,2019-10-01,0.2624188941467366,0.16342584303193078,0.09752994841625102,0.08068892015176705,0.07159142260306092,0.04886899433005073,0.03949865711727842,0.02468005286268491,0.03782069318327152,0.07250202498188174,0.02605789316621904,0.008865583834249903,0.025403077972460247,0.024743147035000215,0.008147674468175811,0.005236816302169928,0.002078697190604084,0.00044165920620710235
10,2019-11-01,0.26450067766204316,0.16662745889634425,0.08994616646658056,0.087268908136953,0.07239828619041619,0.041362427016632695,0.038714005369693855,0.022776426163673973,0.03532038313327252,0.07273673778197343,0.03193738493784177,0.008869556506997448,0.025512875578820517,0.025054524096083827,0.009575296372800633,0.005076773873358396,0.001995801986088577,0.00032630983042512856
11,2019-12-01,0.2620711028713819,0.16956871595958023,0.08637910691280232,0.09082772681221153,0.07416729090027224,0.03821699425612432,0.03855609555429859,0.020311333904987707,0.033666921919146574,0.07255378021510696,0.0349357722684626,0.007136414615265951,0.027376870789897558,0.02540758169353303,0.010970760851588981,0.005413112936019645,0.002226394588832727,0.00021402295048704117
