year,sector,nouveaute_count,influence_count,rupture_count,total_patents,nouveaute_share,influence_share,rupture_share
1983,A,114.16666666666666,35.55833333333334,14.733333333333334,5314.31536638359,0.5596405228758169,0.05236867943053511,0.05917001338688086
1983,B,22.733333333333334,229.90073260073262,38.0495670995671,8978.557964917623,0.11143790849673203,0.3385872350526254,0.15280950642396426
1983,C,3.833333333333333,48.71117216117216,2.083333333333333,8301.780893991134,0.018790849673202614,0.07173957608420052,0.008366800535475232
1983,D,1.3333333333333333,30.15,4.5,1111.0681945505476,0.0065359477124183,0.04440353460972017,0.018072289156626505
1983,E,3.6666666666666665,31.95238095238095,5.0,1957.109989184908,0.017973856209150325,0.0470579984571148,0.020080321285140562
1983,F,8.1,121.16309523809524,10.157575757575758,4360.54852500765,0.039705882352941174,0.17844343923136266,0.040793476938055254
1983,G,37.5,94.91428571428571,95.97619047619047,5144.276280241497,0.18382352941176472,0.1397853986955607,0.38544654809715045
1983,H,12.666666666666666,86.65,78.5,5293.342785723049,0.06209150326797385,0.12761413843888073,0.3152610441767068
1984,A,96.66147186147185,47.58095238095238,35.766666666666666,6166.746282210155,0.42210249721166754,0.054192428679900206,0.15155367231638417
1984,B,4.549242424242424,231.84639804639804,8.553846153846154,10828.551442997687,0.019865687442106657,0.2640619567726629,0.03624511082138201
1984,C,19.075,53.91556776556776,9.716666666666667,9781.667377687309,0.08329694323144106,0.0614072525803733,0.04117231638418079
1984,D,2.833333333333333,17.6,0.0,1326.1871166758938,0.012372634643377001,0.020045558086560365,0.0
1984,E,3.0,65.94285714285714,5.0,2578.353462645026,0.013100436681222708,0.07510575984380084,0.0211864406779661
1984,F,2.5,151.67983405483406,0.6666666666666666,5258.402504427607,0.01091703056768559,0.1727560752332962,0.002824858757062147
1984,G,73.76666666666665,128.8769230769231,95.24615384615385,6283.087866099043,0.32212518195050943,0.1467846504292974,0.40358539765319423
1984,H,26.614285714285714,180.5574675324675,81.05,6378.00394725728,0.11621958827199003,0.2056463183741088,0.3434322033898305
1985,A,130.21103896103895,60.13484848484849,42.58333333333333,7014.916199716397,0.5711010480747323,0.0709137364208119,0.2008647798742138
1985,B,12.257142857142858,226.99491341991342,8.666666666666666,11230.260060516111,0.053759398496240604,0.2676826809197092,0.040880503144654086
1985,C,10.575757575757574,69.46428571428572,4.333333333333333,10034.914096069899,0.046384901648059536,0.08191543126684638,0.020440251572327043
1985,D,0.0,27.666666666666668,0.0,1175.6007552515136,0.0,0.03262578616352201,0.0
1985,E,2.75,31.57142857142857,0.0,2571.790234619182,0.01206140350877193,0.037230458221024255,0.0
1985,F,5.3,118.91904761904762,0.0,5504.437620000229,0.02324561403508772,0.14023472596585804,0.0
1985,G,48.46161616161616,149.25595238095238,100.3,6437.525577870701,0.21255094807726388,0.17600937780772685,0.4731132075471698
1985,H,18.444444444444443,163.99285714285713,56.116666666666674,6150.555455955966,0.08089668615984405,0.19338780323450133,0.26470125786163523
1986,A,152.69444444444446,52.71666666666667,36.08333333333333,7590.500023342759,0.5918389319552111,0.06581356637536413,0.20501893939393936
1986,B,17.633333333333333,248.106105006105,7.8,12638.272568136905,0.06834625322997416,0.30974544944582394,0.04431818181818182
1986,C,11.972222222222221,41.92857142857143,2.6,10315.50140621876,0.04640396210163652,0.052345282682361334,0.014772727272727272
1986,D,1.2000000000000002,16.0,2.0,1395.171834563785,0.004651162790697675,0.019975031210986267,0.011363636363636364
1986,E,0.0,34.411904761904765,0.0,2670.8480367943603,0.0,0.042961179478033414,0.0
1986,F,1.0,131.8145299145299,2.25,6090.920104716904,0.003875968992248062,0.16456245931901362,0.01278409090909091
1986,G,65.0,124.85555555555555,76.51666666666667,7183.166178849829,0.25193798449612403,0.15587460119295324,0.4347537878787879
1986,H,8.5,151.16666666666666,48.75,7076.619847376698,0.03294573643410853,0.18872243029546398,0.27698863636363635
1987,A,131.37380952380954,59.38333333333334,18.133333333333333,8493.338201611454,0.4847742048849061,0.0646877269426289,0.07884057971014492
1987,B,10.44047619047619,278.4329365079365,26.935064935064933,13436.591737578674,0.03852574240028114,0.3033038524051596,0.11710897797854318
1987,C,7.733333333333333,64.18162393162393,8.9,11372.980142703296,0.028536285362853627,0.06991462301919818,0.03869565217391305
1987,D,3.0,17.589285714285715,4.0,1477.2334800532471,0.01107011070110701,0.019160441954559602,0.017391304347826087
1987,E,4.0,31.875,6.0,2540.277528840901,0.014760147601476014,0.034722222222222224,0.02608695652173913
