year,country,nouveaute_count,influence_count,rupture_count,total_patents,nouveaute_share,influence_share,rupture_share,population,nouveaute_per_million,influence_per_million,rupture_per_million
1983,AT,1.0,60.5,0.0,2084.9904761904763,0.0017006802721088435,0.03577235772357724,0.0,7561910,0.13224172199880718,8.000624180927835,0.0
1983,BE,8.0,7.0,3.0,1824.5826118326117,0.013605442176870748,0.004138950480413895,0.005099872503187421,9855520,0.811727843888501,0.7102618634024385,0.3043979414581879
1983,BG,0.0,0.0,0.0,120.0,0.0,0.0,0.0,8939738,0.0,0.0,0.0
1983,CH,34.0,223.5,2.4999999999999996,9761.483495670996,0.05782312925170068,0.13215077605321507,0.004249893752656182,6418773,5.296962519160593,34.81973891271743,0.389482538173573
1983,CY,0.0,0.0,0.0,4.5,0.0,0.0,0.0,707225,0.0,0.0,0.0
1983,DE,0.0,1081.75,27.25,45629.42589077589,0.0,0.6396156688839616,0.046323841903952404,78128282,0.0,13.84581834270975,0.34878534766705865
1983,DK,53.0,17.0,2.0,952.6547619047619,0.09013605442176871,0.010051736881005174,0.003399915002124947,5114297,10.363105623314407,3.324015011251791,0.3910605895590342
1983,ES,0.0,6.0,0.0,384.53333333333336,0.0,0.003547671840354767,0.0,38171525,0.0,0.15718523166155923,0.0
1983,FI,0.0,7.0,0.0,564.15,0.0,0.004138950480413895,0.0,4855787,0.0,1.4415788830935128,0.0
1983,FR,29.5,97.5,83.91666666666667,16774.603754578755,0.050170068027210885,0.057649667405764965,0.14265476696415924,56108330,0.5257686336413862,1.7377098908486492,1.4956186838329828
1983,GB,287.5,46.33333333333333,279.3333333333333,16828.12711038961,0.48894557823129253,0.027395910322739588,0.4748547952967842,56332848,5.103594265285505,0.8224922931880406,4.958622602097684
1983,GR,0.0,0.0,0.0,41.75,0.0,0.0,0.0,9846627,0.0,0.0,0.0
1983,HU,1.0,6.0,6.0,717.0,0.0017006802721088435,0.003547671840354767,0.010199745006374841,10689463,0.09355006888559322,0.5613004133135594,0.5613004133135594
1983,IE,0.0,0.0,0.0,109.25,0.0,0.0,0.0,3510600,0.0,0.0,0.0
1983,IS,4.0,0.0,0.0,7.0,0.006802721088435374,0.0,0.0,236977,16.879275203922745,0.0,0.0
1983,IT,79.0,0.0,39.0,5048.477380952381,0.13435374149659865,0.0,0.06629834254143646,56564074,1.3966462175266938,0.0,0.689483575741026
1983,LI,0.0,10.0,0.0,203.68333333333334,0.0,0.005912786400591279,0.0,26446,0.0,378.1290176208122,0.0
1983,LU,0.0,8.0,0.0,311.49920634920636,0.0,0.004730229120473023,0.0,365622,0.0,21.880521412825267,0.0
1983,MC,0.0,0.0,0.0,28.5,0.0,0.0,0.0,27960,0.0,0.0,0.0
1983,NL,69.0,24.666666666666664,130.25,6490.489713064713,0.11734693877551021,0.014584873121458486,0.22141946451338718,14367070,4.802649391977627,1.716889154620021,9.065870772537476
1983,NO,0.0,15.5,0.0,290.25,0.0,0.009164818920916482,0.0,4128432,0.0,3.7544520534672725,0.0
1983,PL,0.0,3.0,0.0,88.0,0.0,0.0017738359201773836,0.0,36571808,0.0,0.08203039893461106,0.0
1983,PT,0.0,0.0,0.0,13.0,0.0,0.0,0.0,9957865,0.0,0.0,0.0
1983,RO,0.0,0.0,0.0,11.0,0.0,0.0,0.0,22560478,0.0,0.0,0.0
1983,SE,22.0,77.5,15.0,4746.125,0.03741496598639456,0.04582409460458241,0.025499362515937103,8329033,2.6413630489877993,9.304801649843384,1.8009293515825906
1983,SM,0.0,0.0,0.0,10.0,0.0,0.0,0.0,22229,0.0,0.0,0.0
1984,AT,0.0,62.5,0.0,2522.165476190476,0.0,0.028105677346824058,0.0,7561434,0.0,8.26562792189947,0.0
1984,BE,0.5,6.0,8.0,2398.707142857143,0.0007588692847656991,0.0026981450252951096,0.013483416601456692,9855372,0.05073375211001675,0.6088050253202011,0.811740033760268
1984,BG,0.0,0.0,0.0,121.0,0.0,0.0,0.0,8960679,0.0,0.0,0.0
1984,CH,23.000000000000004,182.0,4.0,11514.13134920635,0.03490798709922217,0.08184373243395165,0.006741708300728346,6441865,3.5703945984586767,28.252687692151262,0.6209381910362916
1984,CY,0.0,0.0,0.0,0.25,0.0,0.0,0.0,719334,0.0,0.0,0.0
1984,DE,31.249999999999996,1761.6484848484847,82.57142857142857,56337.21383376685,0.04742933029785619,0.7921971826187677,0.1391681213507494,77858685,0.4013681967528735,22.62622962163418,1.0605294524487354
1984,DK,9.5,8.0,7.5,1139.5166666666667,0.014418516410548284,0.0035975267003934795,0.012640703063865649,5111619,1.8585109727465994,1.56506187178661,1.4672455047999469
1984,ES,0.0,13.0,0.0,622.1666666666666,0.0,0.005845980888139404,0.0,38330364,0.0,0.33915670615598636,0.0
1984,FI,0.0,0.0,0.0,690.5833333333334,0.0,0.0,0.0,4881803,0.0,0.0,0.0
1984,FR,10.0,90.0,41.0,20489.438815789472,0.015177385695313982,0.04047217537942664,0.06910251008246554,56383085,0.1773581562626451,1.5962234063638057,0.7271684406768448
1984,GB,425.375,13.5,282.0,21292.720238095237,0.6456080440144185,0.0060708263069139965,0.47529043520134834,56422072,7.539159497722806,0.23926806516428537,4.998044027876183
1984,GR,0.0,0.0,0.0,43.166666666666664,0.0,0.0,0.0,9895801,0.0,0.0,0.0
1984,HU,0.0,3.0,0.0,751.0,0.0,0.0013490725126475548,0.0,10668095,0.0,0.2812123439095734,0.0
1984,IE,3.5,0.0,0.0,154.16666666666666,0.005312084993359893,0.0,0.0,3532423,0.9908213144348794,0.0,0.0
1984,IS,0.0,0.0,0.0,3.2499999999999982,0.0,0.0,0.0,239511,0.0,0.0,0.0
1984,IT,57.5,0.0,34.0,6762.125,0.0872699677480554,0.0,0.05730452055619094,56576718,1.016319115576835,0.0,0.6009539118193459
1984,LI,0.0,3.3181818181818183,0.0,138.73484848484847,0.0,0.0014921559609586592,0.0,26596,0.0,124.76243864422538,0.0
1984,LU,0.0,1.5,0.0,273.25,0.0,0.0006745362563237774,0.0,365998,0.0,4.098383051273505,0.0
1984,MC,0.0,0.0,0.0,42.333333333333336,0.0,0.0,0.0,28356,0.0,0.0,0.0
1984,NL,70.75,27.28333333333334,90.75,7422.022582972583,0.10738000379434642,0.012269065017800264,0.15295250707277433,14424211,4.904947660568748,1.8914957173971831,6.291505303132352
1984,NO,0.0,3.0,0.0,381.7857142857143,0.0,0.0013490725126475548,0.0,4140099,0.0,0.7246203532814071,0.0
1984,PL,0.0,0.0,10.0,252.5,0.0,0.0,0.016854270751820864,36904134,0.0,0.0,0.2709723523115324
1984,PT,0.0,0.0,0.0,35.0,0.0,0.0,0.0,9996232,0.0,0.0,0.0
1984,RO,0.0,0.0,0.0,3.0,0.0,0.0,0.0,22640547,0.0,0.0,0.0
1984,SE,27.5,49.0,33.5,4867.973168498169,0.04173781066211345,0.022034851039910062,0.056461807018599895,8336605,3.298704928445092,5.87769241795671,4.018422367378567
