country,period,nouveaute_per_million,influence_per_million,rupture_per_million,total_patents
AT,all,2.786965161079991,39.39956693955719,5.07949295365566,552777.5436897111
BE,all,4.318772001372986,7.63781409559326,5.564977598918038,549565.7211539362
BG,all,0.518032339069926,0.22077724330491216,0.03672238289801008,6826.20100393028
BY,all,0.14529445035754904,0.011431188728942821,0.1240884441544559,2076.8022707168993
CH,all,22.715320383335275,66.98274977662491,27.127061312736537,1550265.5070344007
CY,all,4.870434635178563,1.0441405867238804,2.4005914437755953,8495.453142690643
CZ,all,0.9451365403973011,0.9301288664740562,0.43296533738444193,45019.745709145514
DE,all,4.959986231538655,64.48864503119175,11.2892149773241,7524703.785311123
DK,all,11.222722647643995,12.558594510468652,11.709535390215905,465140.1870755646
EE,all,5.305455623865702,0.59478218182446,1.0695517580281548,8347.987893794801
ES,all,3.5460649044196693,0.477757411781338,0.940006311346802,404130.1524248647
FI,all,26.0963621257712,17.905765940636265,74.37958989770875,556687.6472939713
FR,all,3.647032879774721,14.466360275620163,8.530152452993384,2848595.0500315703
GB,all,7.830534782101601,4.411495207550457,8.980741740889952,2188488.1407439783
GR,all,1.1832595663988135,0.31500588379200567,0.25028970342134194,28056.616137581128
HR,all,0.5588562013211641,0.4622679460205443,0.3100253814914815,7020.182934193679
HU,all,0.6161359811609843,0.9802851883547244,0.6421026506024873,46781.591546967014
IE,all,18.80790899610924,5.038701935923802,13.412561273435836,176771.29091841925
IS,all,10.460814461431726,4.782668137739508,3.0887025714583056,11473.440995115996
IT,all,4.151766380645409,2.35508526439089,1.4463827125543924,1294033.5666755708
LI,all,24.81033177113349,698.505219775377,76.79667616491685,43617.78672508048
LT,all,2.1641748895186885,0.0,0.030773485940142082,6230.272641411736
LU,all,12.923221498231612,36.10997403250856,28.187430460780536,87378.89289608943
LV,all,2.1003995863085008,0.26677913608551784,0.0,4788.715968753469
MC,all,97.42134249657894,26.470224206940646,27.573656789367554,6955.344047619048
MT,all,14.682595980739663,5.3800419936505985,2.4821036427805567,9917.244047619048
NL,all,14.153124676634894,12.649807514958486,18.195840788811495,1283954.0673144206
NO,all,4.648333637285799,6.209176894560343,4.298924654134616,168071.16322587643
PL,all,0.6850321094572166,0.2879338850702702,0.2105208187695851,78453.9281683443
PT,all,1.263770810732026,0.4123789274203536,0.5001747607601587,36825.11520961228
RO,all,0.2714712382071078,0.11233365331951779,0.09524896921650022,9477.594741303174
RS,all,0.13091345807806495,0.16094703748865116,0.0709921581397613,2006.953503522621
SE,all,19.54960102251177,24.100602081234104,40.37065044038593,1180197.6965119094
SI,all,2.052909741976262,1.5941578552498046,0.4802255282907458,22590.331270869043
