date,tensorflow,pytorch,keras,scikit-learn,"other nlp (nltk, spacy)",hugging-face,langchain
2019-03-01,0.054004065682897805,0.014022392854509643,0.03003233587175193,0.021223707355094216,0.00486328351291855,0.0,0.0
2019-04-01,0.05487086535412737,0.014348212265403304,0.02731352393446529,0.021185979750037137,0.004126389837754046,0.0,0.0
2019-05-01,0.05847450879240116,0.01958786560816949,0.03519879689755927,0.026101378877498523,0.0038279285713939473,0.0,0.0
2019-06-01,0.06300160797809065,0.02095116823799194,0.03234871012676765,0.022989311062787537,0.004159993716234422,0.0,0.0
2019-07-01,0.06408685547662786,0.02435809355531243,0.03132393575691399,0.019349482479591222,0.002987713944659408,0.0,0.0
2019-08-01,0.0635530314795355,0.02349110280826171,0.03493387321242866,0.01753978126959016,0.003002857887839333,0.0,0.0
2019-09-01,0.06377255762530086,0.02295688895354371,0.028307305312387572,0.016165225356885034,0.0027425482149937104,0.0,0.0
2019-10-01,0.06929587987248312,0.027911316606683327,0.02972376776048202,0.023736203466599028,0.0037575631423988703,0.0004139072847682119,0.0
2019-11-01,0.06944209238359528,0.0298627662549935,0.029187655219737464,0.02877696101636327,0.0039876041598819875,0.0004139072847682119,0.0
2019-12-01,0.07275541127860112,0.03800512035959641,0.03306436155586296,0.03739952300823632,0.006806081727588604,0.0004139072847682119,0.0
2020-01-01,0.07802616624317114,0.04411241630920712,0.04225537721503539,0.04405904535973663,0.008714269987583356,0.0007200922204693755,0.0
2020-02-01,0.08173172567154341,0.04710489336276817,0.0435893205169989,0.042251650216248764,0.00952029996318461,0.0003061849357011635,0.0
2020-03-01,0.07545435185685614,0.04413009498995985,0.042864667429161736,0.040580873047959154,0.01222224607309092,0.0003061849357011635,0.0
2020-04-01,0.0731079020080005,0.03759812563329024,0.039738374857677554,0.03280551809157414,0.01079344332254075,0.0003061849357011635,0.0
2020-05-01,0.06568814231615004,0.03385049517029264,0.03232671391412635,0.025404045895883305,0.010203540946420248,0.0,0.0
2020-06-01,0.06556317330020357,0.025840773062826172,0.03079231472935123,0.023350147413413392,0.00769899661856765,0.0,0.0
2020-07-01,0.07142954519380319,0.025978580647003393,0.029001697633453602,0.019300249902294758,0.006231595604962016,0.0,0.0
2020-08-01,0.07354343371449636,0.03324409378479323,0.026617974247328285,0.026496574613050716,0.014834994431817614,0.00033829499323410016,0.0
2020-09-01,0.07855165879484456,0.032218154047410394,0.032442121444068696,0.028664805313382648,0.015701408589493284,0.0005527032265102579,0.0
2020-10-01,0.07659960934840468,0.03388946796161885,0.034802046485369956,0.031874899258330744,0.017534280280255773,0.0010435409228453365,0.0
2020-11-01,0.07338011510168271,0.0371340491764971,0.037003009824947156,0.034609378787364725,0.017367033825880604,0.0017192165985210122,0.0
2020-12-01,0.0762993137794611,0.03567195319559141,0.03853969298609541,0.02979554089932414,0.008955534792081067,0.0018421762178330375,0.0
2021-01-01,0.08006826827257185,0.040649646686439306,0.037626696424680035,0.0353757919884777,0.012955405945818815,0.003975185824932467,0.0
2021-02-01,0.07479507373509561,0.04340713783512767,0.03455493814636837,0.034371902879350255,0.012730990451352878,0.004354670147744473,0.0
2021-03-01,0.07558516429028683,0.045721161332037075,0.034012339533299955,0.03626253899817429,0.013752178133614385,0.004066191167990325,0.0
2021-04-01,0.07143536954734211,0.0483229217330916,0.03274058398178013,0.03660517459056591,0.016273611879590567,0.004821810541382545,0.0
2021-05-01,0.06207178060628838,0.04545385548374366,0.027524099892056605,0.032379822477889855,0.010613726642240542,0.002474392701006958,0.0
2021-06-01,0.06587976308296667,0.049702639603566245,0.028110170966998624,0.03175648623361972,0.009707803903015726,0.002029060057125492,0.0
2021-07-01,0.06324454761433007,0.04637228613292549,0.027185874665632468,0.032157487013996636,0.008014100476054659,0.00286187149459152,0.0
