,date,J - Information et communication,"M - Activités spécialisées, scientifiques et techniques","B,C - Industrie",P - Enseignement,K - Activités financières et d'assurance,N - Activités de services administratifs et de soutien,G - Commerce,0 - Administration,"D,E - Electricité - Eau",S - Autres services,L - Activités immobilières,H - Transports et entreposage,I - Hébergement et restauration,F - Construction,"R - Arts, spectacles et activités récréatives",Q - Santé humaine et action sociale,A - Agriculture,nan
0,2022-09-01,0.6666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2022-10-01,0.5,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.18181818181818182,0.0,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0
2,2022-11-01,0.4999999999999999,0.035714285714285705,0.035714285714285705,0.07142857142857141,0.17857142857142855,0.0,0.10714285714285711,0.035714285714285705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035714285714285705,0.0,0.0
3,2022-12-01,0.42857142857142855,0.14285714285714285,0.03571428571428571,0.03571428571428571,0.21428571428571427,0.0,0.07142857142857142,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0
4,2023-01-01,0.45454545454545453,0.22727272727272727,0.0909090909090909,0.0,0.0909090909090909,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2023-02-01,0.43478260869565216,0.30434782608695654,0.08695652173913043,0.0,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2023-03-01,0.46874999999999994,0.21875,0.12499999999999999,0.0,0.031249999999999997,0.09374999999999999,0.06249999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2023-04-01,0.5151515151515151,0.2121212121212121,0.0909090909090909,0.0,0.030303030303030297,0.0909090909090909,0.030303030303030297,0.030303030303030297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-05-01,0.5142857142857142,0.2571428571428571,0.0857142857142857,0.0,0.028571428571428567,0.057142857142857134,0.028571428571428567,0.028571428571428567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2023-06-01,0.4545454545454546,0.2,0.05454545454545455,0.05454545454545455,0.05454545454545455,0.0,0.0,0.1090909090909091,0.01818181818181818,0.0,0.03636363636363636,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0
10,2023-07-01,0.4193548387096775,0.2258064516129033,0.03225806451612904,0.06451612903225808,0.06451612903225808,0.01612903225806452,0.01612903225806452,0.0806451612903226,0.01612903225806452,0.0,0.04838709677419356,0.0,0.01612903225806452,0.0,0.0,0.0,0.0,0.0
11,2023-08-01,0.43421052631578955,0.15789473684210528,0.03947368421052632,0.052631578947368425,0.07894736842105264,0.026315789473684213,0.052631578947368425,0.06578947368421054,0.013157894736842106,0.0,0.052631578947368425,0.0,0.013157894736842106,0.0,0.0,0.013157894736842106,0.0,0.0
12,2023-09-01,0.41935483870967744,0.1774193548387097,0.048387096774193554,0.03225806451612903,0.12903225806451613,0.048387096774193554,0.08064516129032259,0.0,0.0,0.0,0.03225806451612903,0.0,0.016129032258064516,0.0,0.0,0.016129032258064516,0.0,0.0
13,2023-10-01,0.425,0.08750000000000001,0.11249999999999999,0.0375,0.09999999999999999,0.075,0.0625,0.012499999999999999,0.024999999999999998,0.024999999999999998,0.012499999999999999,0.0,0.012499999999999999,0.0,0.0,0.012499999999999999,0.0,0.0
14,2023-11-01,0.39560439560439564,0.06593406593406595,0.14285714285714288,0.05494505494505496,0.10989010989010992,0.07692307692307694,0.05494505494505496,0.01098901098901099,0.032967032967032975,0.032967032967032975,0.0,0.0,0.01098901098901099,0.01098901098901099,0.0,0.0,0.0,0.0
15,2023-12-01,0.39849624060150385,0.07518796992481204,0.15789473684210528,0.03759398496240602,0.07518796992481204,0.09022556390977444,0.05263157894736843,0.015037593984962407,0.03759398496240602,0.04511278195488722,0.0,0.0,0.0,0.015037593984962407,0.0,0.0,0.0,0.0
16,2024-01-01,0.38059701492537307,0.11194029850746268,0.15671641791044774,0.04477611940298507,0.08208955223880596,0.06716417910447761,0.04477611940298507,0.022388059701492536,0.022388059701492536,0.029850746268656712,0.007462686567164178,0.0,0.0,0.029850746268656712,0.0,0.0,0.0,0.0
17,2024-02-01,0.3971631205673759,0.14184397163120568,0.12056737588652483,0.03546099290780142,0.05673758865248227,0.06382978723404255,0.03546099290780142,0.028368794326241134,0.014184397163120567,0.02127659574468085,0.03546099290780142,0.0,0.0070921985815602835,0.028368794326241134,0.014184397163120567,0.0,0.0,0.0
18,2024-03-01,0.38095238095238104,0.1507936507936508,0.13492063492063494,0.04761904761904763,0.0634920634920635,0.04761904761904763,0.023809523809523815,0.023809523809523815,0.0,0.015873015873015876,0.039682539682539694,0.007936507936507938,0.023809523809523815,0.023809523809523815,0.015873015873015876,0.0,0.0,0.0
19,2024-04-01,0.36641221374045807,0.16030534351145043,0.1221374045801527,0.05343511450381681,0.06106870229007635,0.0687022900763359,0.02290076335877863,0.015267175572519087,0.0,0.02290076335877863,0.03816793893129772,0.015267175572519087,0.030534351145038174,0.007633587786259543,0.015267175572519087,0.0,0.0,0.0
20,2024-05-01,0.38129496402877694,0.16546762589928055,0.1438848920863309,0.05035971223021582,0.0647482014388489,0.079136690647482,0.0071942446043165445,0.021582733812949634,0.0,0.028776978417266178,0.0071942446043165445,0.014388489208633089,0.028776978417266178,0.0071942446043165445,0.0,0.0,0.0,0.0
21,2024-06-01,0.3452914798206279,0.21076233183856508,0.12556053811659196,0.07623318385650227,0.0493273542600897,0.09417040358744397,0.017937219730941707,0.035874439461883414,0.0,0.008968609865470854,0.004484304932735427,0.004484304932735427,0.017937219730941707,0.004484304932735427,0.004484304932735427,0.0,0.0,0.0
22,2024-07-01,0.3562091503267975,0.19607843137254907,0.10457516339869283,0.08169934640522879,0.06209150326797387,0.107843137254902,0.02941176470588236,0.03267973856209151,0.0,0.009803921568627454,0.003267973856209151,0.0,0.009803921568627454,0.003267973856209151,0.003267973856209151,0.0,0.0,0.0
23,2024-08-01,0.29378531073446323,0.19774011299435026,0.08757062146892657,0.1440677966101695,0.06214689265536723,0.11864406779661017,0.03389830508474576,0.022598870056497175,0.0,0.005649717514124294,0.014124293785310734,0.011299435028248588,0.005649717514124294,0.0,0.002824858757062147,0.0,0.0,0.0
24,2024-09-01,0.31989247311827956,0.1881720430107527,0.10483870967741937,0.14516129032258066,0.045698924731182804,0.11290322580645162,0.02688172043010753,0.010752688172043012,0.0,0.00806451612903226,0.013440860215053765,0.010752688172043012,0.002688172043010753,0.00806451612903226,0.002688172043010753,0.0,0.0,0.0
25,2024-10-01,0.3373493975903614,0.13654618473895583,0.15461847389558234,0.15060240963855423,0.03614457831325301,0.0642570281124498,0.058232931726907626,0.010040160642570281,0.012048192771084338,0.006024096385542169,0.008032128514056224,0.012048192771084338,0.004016064257028112,0.008032128514056224,0.002008032128514056,0.0,0.0,0.0
26,2024-11-01,0.36690647482014394,0.1798561151079137,0.16906474820143885,0.08992805755395684,0.030575539568345328,0.052158273381294966,0.052158273381294966,0.01079136690647482,0.025179856115107917,0.00539568345323741,0.0,0.0035971223021582736,0.00539568345323741,0.007194244604316547,0.0017985611510791368,0.0,0.0,0.0
27,2024-12-01,0.37664783427495296,0.1807909604519774,0.14689265536723164,0.07721280602636535,0.04708097928436912,0.03954802259887006,0.05273069679849341,0.009416195856873824,0.03389830508474576,0.009416195856873824,0.005649717514124294,0.011299435028248588,0.003766478342749529,0.0018832391713747645,0.003766478342749529,0.0,0.0,0.0
28,2025-01-01,0.3990024937655861,0.24438902743142144,0.09975062344139653,0.04239401496259352,0.06234413965087283,0.054862842892768084,0.01745635910224439,0.0024937655860349127,0.03491271820448878,0.012468827930174566,0.012468827930174566,0.00997506234413965,0.0024937655860349127,0.0,0.004987531172069825,0.0,0.0,0.0
29,2025-02-01,0.40155440414507776,0.19430051813471505,0.08290155440414508,0.05958549222797928,0.10362694300518135,0.03886010362694301,0.015544041450777204,0.0,0.02590673575129534,0.02590673575129534,0.01295336787564767,0.023316062176165806,0.0,0.0,0.007772020725388602,0.0,0.007772020725388602,0.0
30,2025-03-01,0.3318777292576418,0.1790393013100436,0.12008733624454145,0.0764192139737991,0.1266375545851528,0.030567685589519642,0.030567685589519642,0.021834061135371174,0.028384279475982523,0.021834061135371174,0.006550218340611352,0.015283842794759821,0.0,0.0,0.002183406113537117,0.0,0.008733624454148468,0.0
31,2025-04-01,0.32177263969171493,0.18497109826589603,0.1290944123314066,0.07707129094412335,0.11946050096339118,0.021194605009633917,0.0346820809248555,0.025048169556840083,0.02697495183044317,0.01734104046242775,0.009633911368015419,0.01734104046242775,0.0,0.003853564547206167,0.0019267822736030835,0.0,0.009633911368015419,0.0
32,2025-05-01,0.3320754716981132,0.17169811320754716,0.13396226415094342,0.07358490566037736,0.11320754716981132,0.02830188679245283,0.032075471698113214,0.03962264150943397,0.02830188679245283,0.009433962264150945,0.01509433962264151,0.013207547169811323,0.0,0.0056603773584905665,0.0,0.0,0.0037735849056603774,0.0
33,2025-06-01,0.3584070796460176,0.17699115044247782,0.1061946902654867,0.07964601769911502,0.10840707964601766,0.04203539823008848,0.022123893805309727,0.026548672566371674,0.0243362831858407,0.013274336283185837,0.01548672566371681,0.01548672566371681,0.0,0.00884955752212389,0.0,0.0,0.0022123893805309726,0.0
34,2025-07-01,0.3355855855855855,0.1689189189189189,0.09234234234234232,0.09009009009009007,0.11036036036036033,0.06756756756756756,0.020270270270270268,0.020270270270270268,0.024774774774774768,0.015765765765765764,0.020270270270270268,0.015765765765765764,0.002252252252252252,0.009009009009009007,0.0,0.006756756756756755,0.0,0.0
35,2025-08-01,0.3396739130434782,0.1793478260869565,0.07608695652173914,0.10054347826086957,0.10326086956521738,0.06521739130434782,0.029891304347826084,0.005434782608695652,0.016304347826086956,0.021739130434782608,0.019021739130434784,0.016304347826086956,0.008152173913043478,0.008152173913043478,0.0,0.010869565217391304,0.0,0.0
