,date,J - Information et communication,"M - Activités spécialisées, scientifiques et techniques","B,C - Industrie",N - Activités de services administratifs et de soutien,K - Activités financières et d'assurance,P - Enseignement,G - Commerce,S - Autres services,"D,E - Electricité - Eau",L - Activités immobilières,H - Transports et entreposage,0 - Administration,F - Construction,I - Hébergement et restauration,Q - Santé humaine et action sociale,"R - Arts, spectacles et activités récréatives",A - Agriculture,nan
0,2019-01-01,0.2845528455284553,0.13821138211382114,0.36585365853658536,0.06504065040650407,0.024390243902439025,0.0,0.016260162601626018,0.04878048780487805,0.008130081300813009,0.024390243902439025,0.0,0.0,0.016260162601626018,0.0,0.0,0.0,0.008130081300813009,0.0
1,2019-02-01,0.25210084033613445,0.13865546218487396,0.3403361344537815,0.046218487394957986,0.025210084033613446,0.004201680672268907,0.03361344537815126,0.03361344537815126,0.01680672268907563,0.06722689075630252,0.0,0.004201680672268907,0.02100840336134454,0.004201680672268907,0.0,0.008403361344537815,0.004201680672268907,0.0
2,2019-03-01,0.3055162659123055,0.21074964639321073,0.1753889674681754,0.0876944837340877,0.04384724186704385,0.012729844413012729,0.03253182461103253,0.019801980198019802,0.009900990099009901,0.05516265912305516,0.0014144271570014143,0.007072135785007072,0.014144271570014143,0.009900990099009901,0.005657708628005657,0.007072135785007072,0.0014144271570014143,0.0
3,2019-04-01,0.30370370370370364,0.22222222222222218,0.13950617283950614,0.10617283950617282,0.045679012345679004,0.018518518518518514,0.0382716049382716,0.01728395061728395,0.008641975308641974,0.049382716049382706,0.006172839506172838,0.009876543209876541,0.011111111111111108,0.011111111111111108,0.006172839506172838,0.006172839506172838,0.0,0.0
4,2019-05-01,0.3245167853509665,0.231943031536114,0.13530010172939985,0.10376398779247205,0.04476093591047814,0.015259409969481184,0.037639877924720254,0.01322482197355036,0.010172939979654124,0.03255340793489319,0.006103763987792474,0.010172939979654124,0.012207527975584947,0.01322482197355036,0.006103763987792474,0.003051881993896237,0.0,0.0
5,2019-06-01,0.30739795918367346,0.2104591836734694,0.19005102040816327,0.09693877551020408,0.04846938775510204,0.016581632653061226,0.03316326530612245,0.01403061224489796,0.011479591836734694,0.01913265306122449,0.010204081632653062,0.011479591836734694,0.00892857142857143,0.015306122448979593,0.0025510204081632655,0.0038265306122448983,0.0,0.0
6,2019-07-01,0.3137485311398354,0.21269095182138656,0.1985898942420681,0.0834312573443008,0.05522914218566391,0.011750881316098704,0.02820211515863689,0.014101057579318446,0.009400705052878962,0.022326674500587538,0.005875440658049352,0.012925969447708574,0.009400705052878962,0.016451233842538188,0.0011750881316098703,0.004700352526439481,0.0,0.0
7,2019-08-01,0.3154362416107382,0.20805369127516773,0.17449664429530198,0.08993288590604025,0.06979865771812079,0.02147651006711409,0.026845637583892613,0.01879194630872483,0.004026845637583892,0.02147651006711409,0.009395973154362415,0.010738255033557045,0.005369127516778522,0.01610738255033557,0.002684563758389261,0.005369127516778522,0.0,0.0
8,2019-09-01,0.3462050599201066,0.20772303595206393,0.1504660452729694,0.09454061251664449,0.06790945406125166,0.015978695073235686,0.030625832223701733,0.01997336884154461,0.0013315579227696406,0.01997336884154461,0.006657789613848203,0.007989347536617843,0.006657789613848203,0.011984021304926765,0.007989347536617843,0.0039946737683089215,0.0,0.0
9,2019-10-01,0.38215324927255084,0.15809893307468476,0.19204655674102808,0.06886517943743936,0.07856450048496603,0.014548981571290006,0.02618816682832201,0.017458777885548008,0.002909796314258001,0.013579049466537341,0.004849660523763336,0.003879728419010668,0.012609117361784671,0.010669253152279339,0.005819592628516002,0.007759456838021336,0.0,0.0
