,zone,ia,ia_rel,gen,gen_rel,total_offers
181,Saint-Malo,50.0,0.0001302025691570946,3.0,7.812154149425677e-06,384017.0
292,Sainte-Maxime,26.0,0.00019821303326929529,1.0,7.6235782026652026e-06,131172.0
3,Beauvais,61.0,0.00014940617169953194,3.0,7.347844509813046e-06,408283.0
148,Châteaubriant,15.0,0.00010962988949307139,1.0,7.308659299538093e-06,136824.0
258,Le Mont Blanc,5.0,3.484223436280522e-05,1.0,6.968446872561044e-06,143504.0
273,Vienne-Annonay,35.0,8.10213317592046e-05,3.0,6.944685579360395e-06,431985.0
194,Guéret,2.0,1.325609448944152e-05,1.0,6.62804724472076e-06,150874.0
261,Lyon,974.0,0.00026070259080560314,24.0,6.423883141000488e-06,3736058.0
122,Épernay,65.0,0.000414131438947469,1.0,6.3712529068841384e-06,156955.0
271,Valence,128.0,0.00019871302268899084,4.0,6.209781959030964e-06,644145.0
104,Compiègne,94.0,0.0002858046312512162,2.0,6.080949601089706e-06,328896.0
63,Besançon,60.0,9.110012511083848e-05,4.0,6.073341674055899e-06,658616.0
241,Annecy,127.0,0.00015151623609808708,5.0,5.965206145593979e-06,838194.0
230,Montauban,65.0,0.00019300204285239202,2.0,5.9385243954582165e-06,336784.0
197,Langon,12.0,6.97175856800079e-05,1.0,5.809798806667325e-06,172123.0
125,Haguenau,89.0,0.0001717238371980844,3.0,5.788443950497228e-06,518274.0
128,Nancy,215.0,0.00024862648323043283,5.0,5.782011237917042e-06,864751.0
1,Arles,10.0,5.732498681525303e-05,1.0,5.732498681525303e-06,174444.0
82,Dieppe-Caux maritime,26.0,0.00014154435782413657,1.0,5.444013762466792e-06,183688.0
134,Saint-Louis,19.0,0.0001016347141389935,1.0,5.349195480999657e-06,186944.0
118,Châlons-en-Champagne,17.0,8.959345651555236e-05,1.0,5.270203324444257e-06,189746.0
195,La Rochelle,172.0,0.00030090498924964444,3.0,5.248342835749612e-06,571609.0
200,Limoges,27.0,7.064086966759547e-05,2.0,5.232657012414479e-06,382215.0
44,Bourges,54.0,0.0001399913931217562,2.0,5.1848664119168966e-06,385738.0
268,Saint Etienne,85.0,8.634297869055286e-05,5.0,5.078998746503109e-06,984446.0
127,Mulhouse,50.0,7.998477089962071e-05,3.0,4.799086253977243e-06,625119.0
284,Fréjus,1.0,4.750616392476924e-06,1.0,4.750616392476924e-06,210499.0
105,Creil,87.0,0.00020657821003542697,2.0,4.748924368630505e-06,421148.0
267,Romans sur Isère,48.0,0.000211755052343202,1.0,4.411563590483375e-06,226677.0
185,Angoulême,35.0,7.637335660902297e-05,2.0,4.364191806229884e-06,458275.0
173,Lorient,97.0,0.00020950459722201225,2.0,4.319682416948706e-06,462997.0
61,Beaune,6.0,2.473023436018762e-05,1.0,4.121705726697937e-06,242618.0
2,Avignon,58.0,0.00011834899076877872,2.0,4.0809996816820246e-06,490076.0
126,Metz,83.0,0.00010947730522272696,3.0,3.9570110321467575e-06,758148.0
256,Le Genevois Français,9.0,1.643079349778732e-05,2.0,3.6512874439527375e-06,547752.0
155,Le Mans,100.0,0.00018221375130738365,2.0,3.6442750261476732e-06,548806.0
72,Pontarlier,22.0,7.784799824488149e-05,1.0,3.538545374767341e-06,282602.0
254,La Vallée de l'Arve,48.0,0.00016869214386628335,1.0,3.5144196638809033e-06,284542.0
199,Libourne,13.0,4.5349733657525786e-05,1.0,3.4884410505789068e-06,286661.0
192,Cognac,8.0,2.6650321136369694e-05,1.0,3.331290142046212e-06,300184.0
217,Albi,39.0,0.0001217593286377941,1.0,3.122034067635746e-06,320304.0
162,Saint-Nazaire,48.0,7.336992658421721e-05,2.0,3.057080274342384e-06,654219.0
184,Agen,14.0,4.2322668020992044e-05,1.0,3.023047715785146e-06,330792.0
68,Dijon,177.0,0.00017608821522158263,3.0,2.9845460207047907e-06,1005178.0
153,La Roche-sur-Yon,76.0,0.00011269827853379539,2.0,2.965744171941984e-06,674367.0
156,Les Herbiers-Montaigu,35.0,5.163361377761845e-05,2.0,2.9504922158639115e-06,677853.0
47,Châteauroux,10.0,2.8693498913951068e-05,1.0,2.8693498913951066e-06,348511.0
64,Chalon-sur-Saône,57.0,0.00016333033416813283,1.0,2.8654444590900495e-06,348986.0
52,Orléans,230.0,0.00020959928262367268,3.0,2.7339036863957306e-06,1097332.0
180,Saint-Brieuc,19.0,5.1545133189911264e-05,1.0,2.712901746837435e-06,368609.0
186,Bayonne,92.0,0.00011986533390312796,2.0,2.6057681283288687e-06,767528.0
43,Blois,33.0,7.809338549024897e-05,1.0,2.3664662269772416e-06,422571.0
109,Lens,53.0,0.0001185019564002236,1.0,2.2358859698155393e-06,447250.0
33,Marne-la-Vallée,117.0,0.00014853842003364332,1.0,1.269559145586695e-06,787675.0
55,Tours,181.0,0.00019315237481378402,1.0,1.0671401923413484e-06,937084.0
39,Roissy,128.0,0.00013304534559567936,1.0,1.039416762466245e-06,962078.0
29,Coulommiers,0.0,0.0,0.0,0.0,59621.0
13,Valréas,2.0,2.373352003702429e-05,0.0,0.0,84269.0
34,Meaux,12.0,4.969067554473403e-05,0.0,0.0,241494.0
30,Etampes,14.0,0.00011496518197345946,0.0,0.0,121776.0
37,Provins,0.0,0.0,0.0,0.0,118083.0
12,Ussel,4.0,3.773869726017058e-05,0.0,0.0,105992.0
11,Redon,2.0,1.2047321880345999e-05,0.0,0.0,166012.0
10,Nogent-le-Rotrou,2.0,2.1962093426745436e-05,0.0,0.0,91066.0
263,Montluçon,2.0,0.0,0.0,0.0,23159.0
264,Moulins,0.0,0.0,0.0,0.0,13650.0
265,Oyonnax,0.0,0.0,0.0,0.0,8729.0
266,Roanne,17.0,8.442129204304492e-05,0.0,0.0,201371.0
252,La Plaine du Forez,11.0,5.922256918272855e-05,0.0,0.0,185740.0
253,La Tarentaise,27.0,9.553565426000559e-05,0.0,0.0,282617.0
255,Le Chablais,2.0,9.49780363290989e-06,0.0,0.0,210575.0
289,Menton,0.0,0.0,0.0,0.0,5946.0
291,Orange,3.0,2.810515073729179e-05,0.0,0.0,106742.0
277,Briançon,0.0,0.0,0.0,0.0,3890.0
278,Brignoles,2.0,1.1833619312466717e-05,0.0,0.0,169010.0
280,Carpentras,1.0,9.485596122288305e-06,0.0,0.0,105423.0
281,Cavaillon,7.0,3.0439017602449037e-05,0.0,0.0,229968.0
282,Digne-les-Bains,0.0,0.0,0.0,0.0,10702.0
283,Draguignan,0.0,0.0,0.0,0.0,152840.0
269,Saint Flour,0.0,0.0,0.0,0.0,36569.0
270,Tarare,17.0,0.00013331973994808372,0.0,0.0,127513.0
272,Vichy,3.0,0.0,0.0,0.0,26610.0
274,Villefranche-sur-Saône,6.0,2.1289203180606955e-05,0.0,0.0,281833.0
69,Dole,26.0,0.00014516624326512382,0.0,0.0,179105.0
70,Lons-le-Saunier,3.0,1.0243557655864266e-05,0.0,0.0,292867.0
73,Saint-Claude,3.0,3.123535842573794e-05,0.0,0.0,96045.0
