,year,month,class_label,share_class_1,n_class_1
86,2020,3,WORK_LIFE_BALANCE,0.03505394356865147,28040
87,2020,3,LEADERSHIP,0.22963583403132853,183688
88,2020,3,CULTURE_VALUES,0.6126676751134502,490079
89,2020,3,PROFESSIONAL_OPPORTUNITIES,0.4177207435836532,334139
90,2020,4,REMUNERATION_BENEFITS,0.39127092312675066,219870
91,2020,4,DIVERSITY,0.24727283081051646,138952
92,2020,4,WORK_LIFE_BALANCE,0.037057468973445466,20824
93,2020,4,LEADERSHIP,0.2522449095807723,141746
94,2020,4,CULTURE_VALUES,0.6439286896419177,361848
95,2020,4,PROFESSIONAL_OPPORTUNITIES,0.4347241154718136,244288
96,2020,5,REMUNERATION_BENEFITS,0.3808086177671237,227802
97,2020,5,DIVERSITY,0.25653035910706345,153458
98,2020,5,WORK_LIFE_BALANCE,0.037124335095268184,22208
99,2020,5,LEADERSHIP,0.21492763362453737,128571
100,2020,5,CULTURE_VALUES,0.6085512348588947,364039
101,2020,5,PROFESSIONAL_OPPORTUNITIES,0.39960147507714733,239044
102,2020,6,REMUNERATION_BENEFITS,0.3892413746570105,346129
103,2020,6,DIVERSITY,0.24845261121856865,220934
104,2020,6,WORK_LIFE_BALANCE,0.03487697359542981,31014
105,2020,6,LEADERSHIP,0.18567878188115694,165113
106,2020,6,CULTURE_VALUES,0.5651376456299761,502543
107,2020,6,PROFESSIONAL_OPPORTUNITIES,0.3807262381359363,338557
108,2020,7,REMUNERATION_BENEFITS,0.37905790513726406,348159
109,2020,7,DIVERSITY,0.2584876181973576,237417
110,2020,7,WORK_LIFE_BALANCE,0.03570662558452234,32796
111,2020,7,LEADERSHIP,0.2010027382047611,184618
112,2020,7,CULTURE_VALUES,0.5883035651099364,540348
113,2020,7,PROFESSIONAL_OPPORTUNITIES,0.3865267260760927,355019
114,2020,8,REMUNERATION_BENEFITS,0.3900973653818704,360748
115,2020,8,DIVERSITY,0.26733198956706794,247219
116,2020,8,WORK_LIFE_BALANCE,0.039469529523208084,36500
117,2020,8,LEADERSHIP,0.20295664623622892,187687
118,2020,8,CULTURE_VALUES,0.6029884381312421,557622
119,2020,8,PROFESSIONAL_OPPORTUNITIES,0.39563283172787866,365867
120,2020,9,REMUNERATION_BENEFITS,0.38967346065958225,440988
121,2020,9,DIVERSITY,0.26035402046150613,294639
122,2020,9,WORK_LIFE_BALANCE,0.03771099050443321,42677
123,2020,9,LEADERSHIP,0.21004589612312957,237706
124,2020,9,CULTURE_VALUES,0.605203210077707,684900
125,2020,9,PROFESSIONAL_OPPORTUNITIES,0.397896589690073,450294
126,2020,10,REMUNERATION_BENEFITS,0.3960570615270774,461374
127,2020,10,DIVERSITY,0.2560918450912425,298326
128,2020,10,WORK_LIFE_BALANCE,0.03885852909818545,45267
129,2020,10,LEADERSHIP,0.2236672452481634,260554
130,2020,10,CULTURE_VALUES,0.6315646251495813,735721
131,2020,10,PROFESSIONAL_OPPORTUNITIES,0.41476481606430665,483167
132,2020,11,REMUNERATION_BENEFITS,0.41218192110368035,368442
133,2020,11,DIVERSITY,0.26279755045968034,234910
134,2020,11,WORK_LIFE_BALANCE,0.044354847731579786,39648
135,2020,11,LEADERSHIP,0.22832096406460808,204092
136,2020,11,CULTURE_VALUES,0.6494828176425971,580561
137,2020,11,PROFESSIONAL_OPPORTUNITIES,0.4327685309694121,386844
138,2020,12,REMUNERATION_BENEFITS,0.41234194801705804,425153
139,2020,12,DIVERSITY,0.2506679960313034,258456
140,2020,12,WORK_LIFE_BALANCE,0.04820821884859306,49706
141,2020,12,LEADERSHIP,0.20699099672281873,213422
142,2020,12,CULTURE_VALUES,0.6068342661839314,625688
143,2020,12,PROFESSIONAL_OPPORTUNITIES,0.40056969999098024,413015
