date,machine learning,deep learning,big data,data mining,data science,ia générative
2019-02-01,0.325,0.10265151515151516,0.4871212121212121,0.0625,0.2553030303030303,0.0
2019-03-01,0.35013903371567606,0.13447535838046787,0.4745563033884202,0.06495481404240529,0.2769103969833897,0.0
2019-04-01,0.3392326277771785,0.1286342965631287,0.4694229746677519,0.0717046162789304,0.2761693877758564,0.0
2019-05-01,0.3318411055510259,0.13603687291025754,0.4641759519110015,0.07533405266614888,0.2846147362017496,0.0
2019-06-01,0.32580386085739355,0.1421008163090027,0.47972627897013914,0.08472031618236835,0.3163044305015761,0.0
2019-07-01,0.3126901811819218,0.13253870713702695,0.48139787065557427,0.09233257555652051,0.32522299117573705,0.0
2019-08-01,0.324994635015611,0.14725104793632426,0.5062320444777542,0.08614248878172608,0.3436929228765533,0.0
2019-09-01,0.3435380488284378,0.16426382073280538,0.4925514368938307,0.0846128547660491,0.3541163867977334,0.0
2019-10-01,0.35758628087908395,0.16983819762304278,0.47543202494607173,0.07432352081033536,0.37022169550814166,0.0
2019-11-01,0.3647084547537025,0.16759757211942192,0.47313681343830233,0.06002458705694971,0.3757992154320332,0.0
2019-12-01,0.3640453288660689,0.16407861488295478,0.4517103765115096,0.052579246806363604,0.3868551644645318,0.0
2020-01-01,0.3690481720119004,0.17054677164964185,0.4663143044268276,0.04607281692271389,0.3927710948293292,0.0
2020-02-01,0.36538327715887375,0.18002089155204687,0.47394399537605497,0.0397988538693852,0.3840311157425394,0.0
2020-03-01,0.3496180860205483,0.18716465988984504,0.47996977814313124,0.04207734744141111,0.38684468323272386,0.0
2020-04-01,0.3388510966497333,0.1853302046848668,0.48738352770580684,0.042950318235273385,0.37844469900576655,0.0
2020-05-01,0.3239180497856731,0.1744752694644032,0.4712811260873112,0.04424455046348461,0.3806663685392159,0.0
2020-06-01,0.3153154994537995,0.16267137786727853,0.44817149762053987,0.046150069756221955,0.3789436551623672,0.0
2020-07-01,0.3053466339775083,0.15987879091627571,0.4263285547792472,0.05382233805142754,0.39175123933958833,0.0
2020-08-01,0.30429861138275294,0.16672043390107905,0.407549359083787,0.05949615321782207,0.4083633806704241,0.0
2020-09-01,0.3038273523307739,0.1641482668704794,0.4136815809092279,0.06534225347599007,0.4011539952976026,0.0
2020-10-01,0.30468959311915533,0.16701546791924363,0.4304866718541842,0.06420312988454786,0.40156264143829806,0.0
2020-11-01,0.3057365559235439,0.16142274648493807,0.44369245189164747,0.051749958891772904,0.3839816941543805,0.0
2020-12-01,0.3072339169729324,0.16149421286266002,0.425782790386372,0.047150832217150274,0.37415928030101325,0.0
2021-01-01,0.3103193823092615,0.1621636094595081,0.40236860602347657,0.03889802779772347,0.38520945786726846,0.0
2021-02-01,0.31058637409360385,0.14807512937894637,0.38770926190908617,0.04023013880706918,0.39252645671443354,0.0
2021-03-01,0.30762946455112383,0.1416609196090319,0.38700271514549245,0.039180783437244016,0.3953383419088691,0.00012906556530717606
2021-04-01,0.2998505015532732,0.12614003867009813,0.40455633443506556,0.03518128934549401,0.41967706893594464,0.0002642737859669922
2021-05-01,0.29309515465708125,0.11244676793457387,0.42158815498801283,0.03301644844825875,0.42640633341168793,0.0002642737859669922
2021-06-01,0.28312787772934384,0.11360707400089957,0.42201619585357086,0.030930523659911963,0.43478258179486046,0.0002642737859669922
2021-07-01,0.29534963619964555,0.10884996605211934,0.4079484166441806,0.03376791910315744,0.44839052228214565,0.00013520822065981613
2021-08-01,0.29830657858192045,0.10436377414650456,0.41929693744457475,0.03637317563276335,0.4417412998437936,0.0
2021-09-01,0.299636356932965,0.10657546623669933,0.41265988753332783,0.038001580997908124,0.45093785805738773,0.0
2021-10-01,0.29347278577782165,0.10949464463603102,0.4192187499468264,0.03413712352310784,0.4590818008614248,0.0
2021-11-01,0.2837977051897683,0.11931461100337437,0.4214930759198104,0.03237321472381881,0.46331834583607473,0.0
2021-12-01,0.28087428117852853,0.12335450230715983,0.4049364200012762,0.031101317248240674,0.4656727214795686,0.00016139444803098772
2022-01-01,0.2797939282298004,0.12171569195181861,0.3831924135941058,0.029452933337357528,0.46120004750709376,0.00016139444803098772
2022-02-01,0.2879394474552896,0.12247967385443176,0.35166939195125463,0.03267448307532742,0.4509877016512282,0.0005423468289833687
2022-03-01,0.2945127334650769,0.11530921491778276,0.3249594608258483,0.03415044840747442,0.44857116460475,0.0005423468289833687
2022-04-01,0.30540587265516045,0.12299717615156155,0.30637094910786067,0.03891750093643699,0.4477143490259935,0.0004794939655010605
2022-05-01,0.3044777946947283,0.1281503396213583,0.30204117426996435,0.04343891845819731,0.42976193417122127,0.0008552454685070725
2022-06-01,0.29903471558898703,0.1276299396305114,0.3046751643388415,0.047655892898141476,0.4303548725479175,0.000594427638251472
2022-07-01,0.2946081981181373,0.13555712172910422,0.3126068548246026,0.04906584198080883,0.42504778212247735,0.000594427638251472
2022-08-01,0.29624939030629605,0.13651638435783875,0.31849428639813576,0.047117583006674985,0.4174758810140168,0.0004958860537027925
2022-09-01,0.3024905883255059,0.14012461017166652,0.3222333326591775,0.04501888590504047,0.4286772627124634,0.0002664189275253351
2022-10-01,0.3080704523465556,0.14412279859332197,0.32656067208854256,0.04171082805186524,0.44415910861189384,0.0001462843768285547
2022-11-01,0.3136978276446686,0.1477103329209719,0.3255068789590607,0.04082744297146742,0.454710858597401,0.0001462843768285547
