date,autres,c1105 - actuariat,d1407 - relation technico-commerciale,e1103 - communication,e1205 - designer ux/ui,"h1206 - management et ingénierie études, recherche et développement industriel",h1208 - intervention technique en études et conception en automatisme,j1102 - médecine généraliste et spécialisée,k1903 - juriste,k2108 - enseignement supérieur,k2111 - formation professionnelle,k2402 - biostatisticien,k2402 - recherche en sciences naturelles,m1201 - analyse et ingénierie financière,m1202 - audit et contrôle comptables et financiers,m1203 - comptabilité,m1204 - contrôle de gestion,m1205 - direction administrative et financière,m1402 - chef de projet agile,m1402 - chef de projet autre,m1402 - coach numérique/agile/scrum,m1402 - conseil générique,m1403 - autres,m1403 - chef de projet data,m1403 - data engineer,m1403 - data scientist,m1502 - développement des ressources humaines,m1703 - management et gestion de produit,m1704 - management relation clientèle,m1705 - marketing,m1707 - stratégie commerciale,m1801 - administration de systèmes d'information,"m1802 - architecte it, cloud, réseaux",m1802 - expert cybersécurité,m1803 - cto,m1803 - direction des systèmes d'information,m1804 - études et développement de réseaux de télécoms,m1805 - autres,m1805 - chef de projet ia,m1805 - chef de projet numérique,m1805 - développeur web/application,m1805 - expert aiops,m1805 - ingénieur ia/ml/cv/genai,m1805 - ingénieur logiciel,m1806 - conseil data,m1806 - conseil ia,m1806 - conseil numérique,m1806 - maîtrise d'ouvrage en systèmes d'information,n1301 - logisticien
2019-01-01,0.013986013986013986,0.0,0.006993006993006993,0.013986013986013986,0.0,0.11188811188811189,0.013986013986013986,0.0,0.0,0.0,0.006993006993006993,0.0,0.07692307692307693,0.02097902097902098,0.0,0.0,0.006993006993006993,0.0,0.0,0.02097902097902098,0.0,0.0,0.03496503496503497,0.006993006993006993,0.03496503496503497,0.13286713286713286,0.0,0.006993006993006993,0.0,0.0,0.0,0.0,0.013986013986013986,0.006993006993006993,0.0,0.0,0.0,0.02097902097902098,0.006993006993006993,0.02097902097902098,0.1958041958041958,0.0,0.16083916083916083,0.006993006993006993,0.006993006993006993,0.006993006993006993,0.02097902097902098,0.02097902097902098,0.0
2019-02-01,0.010752405489247593,0.0,0.0034965034965034965,0.010752405489247593,0.0,0.08977864241022135,0.010752405489247593,0.0,0.0,0.0,0.007255901992744097,0.0,0.05349913244650087,0.014248908985751091,0.0,0.0,0.0034965034965034965,0.0,0.0,0.025527104474472893,0.0037593984962406013,0.0037593984962406013,0.0513171039486829,0.011015300488984699,0.040038908459961095,0.12658394237341605,0.011278195488721804,0.0034965034965034965,0.011278195488721804,0.0,0.011278195488721804,0.0037593984962406013,0.02578999947421,0.007255901992744097,0.0,0.0,0.0,0.014248908985751091,0.022293495977706503,0.01800830748199169,0.16557127083442874,0.0,0.18944213681055785,0.007255901992744097,0.007255901992744097,0.0034965034965034965,0.014248908985751091,0.01800830748199169,0.0
2019-03-01,0.011921686844287462,0.0,0.002925179395767631,0.007762447390930363,0.0,0.0717359695687869,0.007168270326165062,0.0,0.0005941770647653,0.0047534165181224,0.007213976254223931,0.0017825311942959,0.05586810849968745,0.014846866240055096,0.0017825311942959,0.0,0.002331002331002331,0.0023767082590612,0.0,0.0253365485563628,0.002506265664160401,0.009636390441344001,0.05441342283447547,0.011502773112680234,0.03798196987051476,0.14974877203979373,0.009301328186777104,0.0047077105900635305,0.008112974057246503,0.0011883541295306,0.009301328186777104,0.003694619793691001,0.02135257243616377,0.0060256221246933325,0.0011883541295306,0.0005941770647653,0.0,0.010687626786697995,0.019615747169926735,0.016164777774684894,0.1638567830518295,0.0023767082590612,0.17917651663781695,0.012561569837111633,0.010184861578050432,0.004113533525298231,0.011875980916228594,0.019729840163276696,0.0
2019-04-01,0.012329390674044524,0.0012674271229404308,0.0005941770647653,0.004367869851866132,0.0,0.049649057748034776,0.002506265664160401,0.0,0.0005941770647653,0.012357979255764985,0.006150401046162032,0.0017825311942959,0.05937790668629172,0.010388713492928964,0.003049958317236331,0.0012674271229404308,0.0,0.003644135382001631,0.0,0.02341325005511753,0.002506265664160401,0.014706098933105725,0.044025838302404245,0.012974052150499196,0.040268656567847845,0.15742423979130707,0.013103609555598396,0.004911562504942062,0.009380401180186933,0.0011883541295306,0.010568755309717534,0.004962046916631432,0.02302770338886126,0.006229474039571863,0.0037232083754114623,0.0005941770647653,0.0,0.004962046916631432,0.024889307576566988,0.015508906396380057,0.16196007393078574,0.004911562504942062,0.1749931208194401,0.021637411612573182,0.015458421984690688,0.003049958317236331,0.0074178281691024625,0.02287625015379315,0.0
2019-05-01,0.01469641935686268,0.0032167448617318535,0.0005941770647653,0.003810921926497154,0.0,0.045611185289109686,0.0009746588693957114,0.0,0.0005941770647653,0.012357979255764985,0.0036441353820016315,0.002757190063691612,0.06982068028696005,0.009831765567559986,0.003049958317236331,0.0012674271229404308,0.0,0.004618794251397342,0.0,0.03093204704759873,0.0,0.021946421962902436,0.03608933036589631,0.01186015629976124,0.03692696901563398,0.1884740866306276,0.005584812563117193,0.011734174590712042,0.003810921926497154,0.003137671868322023,0.004999276056027754,0.0034304401218667423,0.012445692806850678,0.0037232083754114623,0.004697867244807173,0.0025434948035567228,0.0009746588693957114,0.0034304401218667423,0.019180591341534967,0.010496375068059255,0.1646055765762884,0.005886221374337773,0.15981628985313548,0.02497909916478705,0.013926815189925999,0.004024617186632043,0.004911562504942062,0.028584966388825173,0.0
2019-06-01,0.015740104288015644,0.0032167448617318535,0.0,0.004182928436611081,0.0,0.05015276476675055,0.0009746588693957114,0.000966183574879227,0.0,0.011469297037159494,0.0031997942726988853,0.0009746588693957114,0.07280706588204129,0.007382722709309966,0.0012674271229404308,0.0012674271229404308,0.0,0.004174453142094596,0.0,0.027444486015280666,0.0,0.019647215060114975,0.021684411613151464,0.012531834720800274,0.037231807683644,0.20813876409581658,0.0038022813688212928,0.010323649906530069,0.0032167448617318544,0.003881684888549877,0.0070814791612487625,0.002242085992336142,0.011185004078131259,0.004467221395639316,0.004475696690155801,0.004847868463429104,0.0009746588693957114,0.0032082695672153694,0.020224276272687927,0.00826950276446061,0.17006683881504425,0.007374247414793481,0.15524370983298513,0.024984265921871963,0.012443955906555206,0.004174453142094597,0.004467221395639316,0.02859013314591009,0.0
2019-07-01,0.01247219759805572,0.0028502186396923237,0.0009009009009009009,0.00291550131367065,0.0,0.0547634591112852,0.0009746588693957114,0.001867084475780128,0.0009009009009009009,0.006567437002219611,0.002833268050659355,0.0009746588693957114,0.06888146727963662,0.005748769364330005,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0029070260191541657,0.002702702702702703,0.025978381127122547,0.0,0.020883812874659558,0.02942599349922004,0.019540364162789793,0.04130812734931728,0.22284091872192557,0.0018018018018018018,0.010491498363351911,0.004652020441494126,0.004782585789450778,0.009417655641911936,0.0009746588693957114,0.007550571166131806,0.001932367149758454,0.0019408424442749386,0.0057487693643300045,0.0009746588693957114,0.005544446047878543,0.015322416237748044,0.00823867345606476,0.15804683401937406,0.008442996772516224,0.16076900699326327,0.021685529923516193,0.009343897673417124,0.0038079269200550665,0.004635069852461157,0.02295522066689115,0.0
2019-08-01,0.012975247337098669,0.0022449869224062773,0.0009009009009009009,0.000966183574879227,0.0,0.05102988682932583,0.0,0.001867084475780128,0.0009009009009009009,0.007911523023724987,0.005521440093670108,0.0,0.06319857725888582,0.006487623668549335,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.001932367149758454,0.002702702702702703,0.016499037607032,0.0026881720430107525,0.013825396223713196,0.02555879863032738,0.023706244814239205,0.034988565002590254,0.25249727286894186,0.0058340598663179305,0.005012972299087306,0.002702702702702703,0.004177354072164731,0.01150059596763664,0.0,0.009633511491856513,0.005964625214274583,0.000966183574879227,0.003799451625538582,0.0,0.004569787178482831,0.012532062216494194,0.01227093152058089,0.16270790425769388,0.008812423924625888,0.14493080036558295,0.018525748750152678,0.01643375493305367,0.006865526115175484,0.005979155873966534,0.025674833318592088,0.0
2019-09-01,0.016285614011684876,0.0022449869224062773,0.002722394525673214,0.0009107468123861566,0.0009107468123861566,0.04826596824217131,0.0,0.0009009009009009009,0.0009009009009009009,0.006779029161366548,0.0035890729439116537,0.0,0.072797056707686,0.008142807005842438,0.005454634962831685,0.0009009009009009009,0.0018116477132870575,0.0009107468123861566,0.002702702702702703,0.018043347419338957,0.0026881720430107525,0.01719119966079247,0.030690658929685904,0.026161301438932322,0.037966311102218035,0.22758240789705628,0.008566300303476401,0.008600522786138862,0.002702702702702703,0.0022449869224062773,0.013100342542436673,0.0,0.011288694829149617,0.005853751689288442,0.0,0.0009009009009009009,0.0,0.00724659085314823,0.010377948016763458,0.02308901974422863,0.14566505955982423,0.006769183249881293,0.14398045586570177,0.0162607610254358,0.017122754695467545,0.005843905777803186,0.004957535536594236,0.028874326468192147,0.0
2019-10-01,0.022373358560967883,0.0013440860215053762,0.002807686918657915,0.0018969401062717583,0.0009107468123861566,0.04521143441840672,0.0029585798816568047,0.0,0.0,0.004076326458663846,0.003674365336896354,0.0,0.0663095040662872,0.007241906104941537,0.007019217296644786,0.0,0.0023900367532145588,0.0009107468123861566,0.0,0.021836193519877367,0.0026881720430107525,0.01581585982391417,0.042884805739217324,0.022253843685320723,0.03622048243331244,0.2329078516840385,0.009229981736388603,0.006884013377321761,0.0,0.0028233759623337786,0.010482932232718671,0.0,0.010065282067275314,0.01078471815871645,0.002465483234714004,0.0,0.002465483234714004,0.004629180543430228,0.010140728548774758,0.02171367990735033,0.12833737684752614,0.0031655796462776893,0.16200380465828135,0.013083619386755702,0.016069926719562647,0.008887778052444692,0.0022548328338915327,0.030780078373944055,0.0
