,date,Industrie,Services
0,2019-01-01,0.04105491583742253,0.04860543434005499
1,2019-04-01,0.06842485972903756,0.07480186973112357
2,2019-07-01,0.0860198236593615,0.09721086868010997
3,2019-10-01,0.09774979961291079,0.12782597992027447
4,2020-01-01,0.11534476354323472,0.1587567108639458
5,2020-04-01,0.1329397274735587,0.17548455514980887
6,2020-07-01,0.15248968739614085,0.19820917380230213
7,2020-10-01,0.16421966334969013,0.22219627126882274
8,2021-01-01,0.17985963128775587,0.25154890369495986
9,2021-04-01,0.20527457918711267,0.28595145137720657
10,2021-07-01,0.24046450704776054,0.32319457639101495
11,2021-10-01,0.2854294148696995,0.35633464525923425
12,2022-01-01,0.3147543547535728,0.3853716579818645
13,2022-04-01,0.33625931066841314,0.4241928815132071
14,2022-07-01,0.35189927860647885,0.456070471567399
15,2022-10-01,0.3929541944439014,0.5015197088723855
16,2023-01-01,0.41054915837422534,0.5368691156651528
17,2023-04-01,0.42227913432777464,0.5684310860158378
18,2023-07-01,0.4398740982580986,0.5921025637788515
19,2023-10-01,0.4574690621884225,0.6280832099786325
20,2024-01-01,0.48483900608003755,0.654595265073208
21,2024-04-01,0.5004789740181033,0.6877353339414273
22,2024-07-01,0.5317589098942348,0.7215066422166603
23,2024-10-01,0.5513088698168168,0.7562248096024139
24,2025-01-01,0.5786788137084319,0.7839993435110166
25,2025-04-01,0.6040937616077887,0.821558088228332
26,2025-07-01,0.6353736974839203,0.8556450162070718
27,2025-10-01,0.6471036734374694,0.8666917058298116
